Date,Close/Last,Volume,Open,High,Low
05/24/2021,$250.78,21411550,$247.785,$251.16,$247.51
05/21/2021,$245.17,21863060,$247.565,$248.33,$244.74
05/20/2021,$246.48,21800720,$243.96,$247.95,$243.86
05/19/2021,$243.12,25739810,$239.31,$243.23,$238.6
05/18/2021,$243.08,20167980,$246.27,$246.41,$242.9
05/17/2021,$245.18,24938180,$246.55,$246.59,$243.52
05/14/2021,$248.15,23901080,$245.575,$249.18,$245.49
05/13/2021,$243.03,29624300,$241.8,$245.6,$241.42
05/12/2021,$239,36684370,$242.165,$244.38,$238.07
05/11/2021,$246.23,33641590,$244.55,$246.6,$242.57
05/10/2021,$247.18,29299890,$250.87,$251.73,$247.12
05/07/2021,$252.46,27032910,$252.15,$254.3,$251.17
05/06/2021,$249.73,26491090,$246.45,$249.86,$244.69
05/05/2021,$246.47,21901330,$249.06,$249.5,$245.82
05/04/2021,$247.79,32756050,$250.97,$251.21,$245.76
05/03/2021,$251.86,19626570,$253.4,$254.35,$251.12
04/30/2021,$252.18,30945100,$249.74,$253.08,$249.6
04/29/2021,$252.51,40589020,$255.46,$256.1,$249
04/28/2021,$254.56,46903120,$256.078,$256.5399,$252.95
04/27/2021,$261.97,31014210,$261.585,$263.19,$260.12
04/26/2021,$261.55,19763350,$261.66,$262.435,$260.17
04/23/2021,$261.15,21499290,$257.88,$261.51,$257.27
04/22/2021,$257.17,25606150,$260.21,$261.78,$255.64
04/21/2021,$260.58,24030380,$258.94,$260.68,$257.25
04/20/2021,$258.26,19722880,$257.82,$260.2,$256.84
04/19/2021,$258.74,23209260,$260.19,$261.48,$257.821
04/16/2021,$260.74,24878580,$259.47,$261,$257.6014
04/15/2021,$259.5,25627480,$257.931,$259.93,$257.73
04/14/2021,$255.59,23070940,$257.475,$258.83,$255.16
04/13/2021,$258.49,23837470,$257.257,$259.19,$256.83
04/12/2021,$255.91,27148670,$254.71,$257.67,$254.62
04/09/2021,$255.85,24326830,$252.87,$255.99,$252.44
04/08/2021,$253.25,23625200,$252.77,$254.139,$252
04/07/2021,$249.9,22719840,$247.81,$250.93,$247.19
04/06/2021,$247.86,22931920,$247.61,$249.4,$246.88
04/05/2021,$249.07,36910610,$242.76,$249.96,$242.7
04/01/2021,$242.35,30337980,$238.47,$242.84,$238.0501
03/31/2021,$235.77,43623470,$232.91,$239.1,$232.39
03/30/2021,$231.85,24792010,$233.525,$233.85,$231.1
03/29/2021,$235.24,25227460,$236.59,$236.8,$231.88
03/26/2021,$236.48,25479850,$231.55,$236.71,$231.55
03/25/2021,$232.34,34061850,$235.3,$236.94,$231.57
03/24/2021,$235.46,25620130,$237.845,$238,$235.32
03/23/2021,$237.58,31638380,$237.485,$241.05,$237.07
03/22/2021,$235.99,30127010,$230.27,$236.9,$230.14
03/19/2021,$230.35,46430730,$231.02,$232.474,$229.3496
03/18/2021,$230.72,34852250,$232.56,$234.19,$230.33
03/17/2021,$237.04,29562100,$236.15,$238.55,$233.23
03/16/2021,$237.71,28092200,$236.28,$240.055,$235.94
03/15/2021,$234.81,26042670,$234.96,$235.185,$231.81
03/12/2021,$235.75,22653660,$234.01,$235.82,$233.23
03/11/2021,$237.13,29907590,$234.96,$239.17,$234.31
03/10/2021,$232.42,29746810,$237,$237,$232.04
03/09/2021,$233.78,33080530,$232.88,$235.3839,$231.67
03/08/2021,$227.39,35267440,$231.37,$233.365,$227.13
03/05/2021,$231.6,41872770,$229.517,$233.27,$226.46
03/04/2021,$226.73,44727790,$226.735,$232.49,$224.26
03/03/2021,$227.56,34029530,$232.155,$233.5799,$227.26
03/02/2021,$233.87,22812460,$237.01,$237.3,$233.45
03/01/2021,$236.94,25332840,$235.9,$237.47,$233.15
02/26/2021,$232.38,37819230,$231.525,$235.37,$229.54
02/25/2021,$228.99,39542240,$232.08,$234.5852,$227.88
02/24/2021,$234.55,26339750,$230.01,$235.2,$229
02/23/2021,$233.27,30228700,$230.325,$234.83,$228.73
02/22/2021,$234.51,36446940,$237.42,$237.93,$232.4
02/19/2021,$240.97,25262600,$243.75,$243.86,$240.18
02/18/2021,$243.79,16925560,$241.8,$243.93,$240.86
02/17/2021,$244.2,21673110,$241.32,$244.31,$240.94
02/16/2021,$243.7,26728490,$245.03,$246.13,$242.92
02/12/2021,$244.99,16561080,$243.933,$245.3,$242.73
02/11/2021,$244.49,15751060,$244.78,$245.15,$242.15
02/10/2021,$242.82,22186710,$245,$245.92,$240.89
02/09/2021,$243.77,23564950,$241.87,$244.76,$241.38
02/08/2021,$242.47,22211930,$243.15,$243.68,$240.81
02/05/2021,$242.2,18054750,$242.23,$243.28,$240.42
02/04/2021,$242.01,25296100,$242.66,$243.2399,$240.37
02/03/2021,$243,27158100,$239.57,$245.09,$239.26
02/02/2021,$239.51,25916340,$241.3,$242.31,$238.69
02/01/2021,$239.65,33314190,$235.06,$242.5,$232.43
01/29/2021,$231.96,42503140,$235.99,$238.02,$231.35
01/28/2021,$238.93,49111160,$235.61,$242.64,$235.09
01/27/2021,$232.9,69870640,$238,$240.44,$230.14
01/26/2021,$232.33,49169600,$231.86,$234.18,$230.08
01/25/2021,$229.53,33152100,$229.12,$229.78,$224.22
01/22/2021,$225.95,30172660,$227.08,$230.07,$225.8
01/21/2021,$224.97,30749550,$224.7,$226.3,$222.42
01/20/2021,$224.34,37777260,$217.7,$225.79,$217.2908
01/19/2021,$216.44,30480860,$213.75,$216.98,$212.63
01/15/2021,$212.65,31746510,$213.52,$214.51,$212.03
01/14/2021,$213.02,29346740,$215.91,$217.46,$212.74
01/13/2021,$216.34,20087080,$214.02,$216.76,$213.9266
01/12/2021,$214.93,23249340,$216.5,$217.1,$213.3202
01/11/2021,$217.49,23047030,$218.47,$218.91,$216.73
01/08/2021,$219.62,22956210,$218.68,$220.58,$217.0261
01/07/2021,$218.29,27694480,$214.04,$219.34,$213.71
01/06/2021,$212.25,35930650,$212.17,$216.4899,$211.94
01/05/2021,$217.9,23822950,$217.26,$218.52,$215.7
01/04/2021,$217.69,37130140,$222.53,$223,$214.81
12/31/2020,$222.42,20942130,$221.7,$223,$219.68
12/30/2020,$221.68,20272340,$225.23,$225.63,$221.47
12/29/2020,$224.15,17403210,$226.31,$227.18,$223.58
12/28/2020,$224.96,17933500,$224.45,$226.03,$223.02
12/24/2020,$222.75,10550570,$221.42,$223.61,$221.2
12/23/2020,$221.02,18699640,$223.11,$223.5589,$220.8
12/22/2020,$223.94,22643400,$222.69,$225.63,$221.85
12/21/2020,$222.59,37181890,$217.55,$224,$217.2801
12/18/2020,$218.59,63354920,$218.59,$219.69,$216.02
12/17/2020,$219.42,32515780,$219.87,$220.89,$217.92
12/16/2020,$219.28,35023250,$214.75,$220.11,$214.72
12/15/2020,$214.13,27018110,$215.165,$215.42,$212.24
12/14/2020,$214.2,28798380,$213.1,$216.21,$212.88
12/11/2020,$213.26,30979440,$210.05,$213.32,$209.11
12/10/2020,$210.52,26467020,$211.77,$213.08,$210.36
12/09/2020,$211.8,32440600,$215.16,$215.225,$211.214
12/08/2020,$216.01,23284090,$213.97,$216.95,$212.89
12/07/2020,$214.29,24620000,$214.37,$215.54,$212.99
12/04/2020,$214.36,24666040,$214.22,$215.38,$213.18
12/03/2020,$214.24,25120920,$214.61,$216.3757,$213.65
12/02/2020,$215.37,23724510,$214.88,$215.47,$212.8
12/01/2020,$216.21,30931320,$214.51,$217.32,$213.35
11/30/2020,$214.07,33064750,$214.1,$214.76,$210.835
11/27/2020,$215.23,14512210,$214.85,$216.27,$214.04
